COBERTURA;ID_ENTIDAD;ID_MUNICIPIO;ANIO;MES;ID_HORA;ID_MINUTO;ID_DIA;DIASEMANA;URBANA;SUBURBANA;TIPACCID;AUTOMOVIL;CAMPASAJ;MICROBUS;PASCAMION;OMNIBUS;TRANVIA;CAMIONETA;CAMION;TRACTOR;FERROCARRI;MOTOCICLET;BICICLETA;OTROVEHIC;CAUSAACCI;CAPAROD;SEXO;ALIENTO;CINTURON;ID_EDAD;CONDMUERTO;CONDHERIDO;PASAMUERTO;PASAHERIDO;PEATMUERTO;PEATHERIDO;CICLMUERTO;CICLHERIDO;OTROMUERTO;OTROHERIDO;NEMUERTO;NEHERIDO;CLASACC;ESTATUS
Municipal;9;9;2018;1;2;0;9;Martes;Accidente en intersección;Sin accidente en esta zona;Colisión con vehículo automotor;0;0;0;1;0;0;1;0;0;0;0;0;0;Conductor;Pavimentada;Se fugó;Se ignora;Se ignora;0;0;0;0;0;0;0;0;0;0;0;0;0;Sólo Daños;Cifras Preliminares
Municipal;9;9;2018;1;2;39;14;Domingo;Accidente en intersección;Sin accidente en esta zona;Colisión con peatón (atropellamiento);1;0;0;0;0;0;0;0;0;0;0;0;0;Conductor;Pavimentada;Se fugó;Se ignora;Se ignora;0;0;0;0;0;1;0;0;0;0;0;0;0;Fatal;Cifras Preliminares
Municipal;9;9;2018;1;7;30;15;Lunes;Accidente en intersección;Sin accidente en esta zona;Colisión con peatón (atropellamiento);0;0;0;0;0;0;1;0;0;0;0;0;0;Conductor;Pavimentada;Hombre;Se ignora;Se ignora;44;0;0;0;0;1;1;0;0;0;0;0;0;Fatal;Cifras Preliminares
Municipal;9;9;2018;1;5;20;17;Miércoles;Accidente en intersección;Sin accidente en esta zona;Colisión con vehículo automotor;1;0;0;0;0;0;1;0;0;0;0;0;0;Conductor;Pavimentada;Se fugó;Se ignora;Se ignora;0;0;1;0;4;0;0;0;0;0;0;0;0;No fatal;Cifras Preliminares
Municipal;9;9;2018;1;8;25;18;Jueves;Accidente en intersección;Sin accidente en esta zona;Colisión con peatón (atropellamiento);0;0;0;0;0;0;1;0;0;0;0;0;0;Conductor;Pavimentada;Hombre;Se ignora;Se ignora;74;0;0;0;0;0;2;0;0;0;0;0;0;No fatal;Cifras Preliminares
Municipal;9;9;2018;1;4;30;28;Domingo;Accidente en intersección;Sin accidente en esta zona;Colisión con motocicleta;0;0;0;0;0;0;1;0;0;0;1;0;0;Conductor;Pavimentada;Hombre;Se ignora;Se ignora;51;0;1;0;0;0;0;0;0;0;0;0;0;No fatal;Cifras Preliminares
Municipal;9;9;2018;1;4;0;29;Lunes;Accidente en intersección;Sin accidente en esta zona;Colisión con vehículo automotor;0;0;1;0;0;0;1;0;0;0;0;0;0;Conductor;Pavimentada;Hombre;Se ignora;Se ignora;19;0;0;0;2;0;0;0;0;0;0;0;0;No fatal;Cifras Preliminares
Municipal;9;9;2018;1;1;0;30;Martes;Accidente en intersección;Sin accidente en esta zona;Colisión con vehículo automotor;2;0;0;0;0;0;0;0;0;0;0;0;0;Conductor;Pavimentada;Se fugó;Se ignora;Se ignora;0;0;0;0;0;0;0;0;0;0;0;0;0;Sólo Daños;Cifras Preliminares
Municipal;9;3;2018;1;9;0;2;Martes;Accidente en intersección;Sin accidente en esta zona;Colisión con peatón (atropellamiento);1;0;0;0;0;0;0;0;0;0;0;0;0;Conductor;Pavimentada;Hombre;No;Sí;40;0;0;0;0;0;1;0;0;0;0;0;0;No fatal;Cifras Preliminares
Municipal;9;3;2018;1;14;0;3;Miércoles;Accidente en intersección;Sin accidente en esta zona;Colisión con vehículo automotor;2;0;0;0;0;0;0;0;0;0;0;0;0;Conductor;Pavimentada;Se fugó;Se ignora;Se ignora;0;0;0;0;0;0;0;0;0;1;0;0;0;Fatal;Cifras Preliminares
